participant,ADHD_1:1,ADHD_1:2,ADHD_1:3,ADHD_1:4,ADHD_1:5,ADHD_1:6,ADHD_2:1,ADHD_2:2,ADHD_2:3,ADHD_2:4,ADHD_2:5,ADHD_2:6,ADHD_2:7,ADHD_2:8,ADHD_2:9,ADHD_2:10,ADHD_2:11,ADHD_2:12,experiment_1:1,experiment_2:1,remember:1,remember:2,remember:3,remember:4,remember:5,remember:6,remember:7,remember:8,remember:9,remember:10,remember:11,remember:12,remember:13,remember:14,remember:15,remember:16,remember:17,remember:18,remember:19,remember:20,remember:21,remember:22,remember:23,remember:24,remember:25,remember:26,remember:27,remember:28,completion:1,TIME_start,TIME_end,TIME_total
s.7c536f82-996c-4012-8aaa-7693767f2bef.txt,2,3,4,4,1,4,5,4,2,3,3,1,1,2,3,2,3,5,search_1.2018-11-27-1029.data.7c536f82-996c-4012-8aaa-7693767f2bef.txt,search_2.2018-11-27-1037.data.7c536f82-996c-4012-8aaa-7693767f2bef.txt,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-10-19,2018-11-27-10-38,19,
s.4d7571c1-a3f5-4394-9105-af5f2efa13a8.txt,2,3,3,4,5,2,2,2,1,3,5,1,3,2,3,2,3,3,search_1.2018-11-27-1119.data.4d7571c1-a3f5-4394-9105-af5f2efa13a8.txt,search_2.2018-11-27-1125.data.4d7571c1-a3f5-4394-9105-af5f2efa13a8.txt,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-11-12,2018-11-27-11-26,14,
s.710d68e4-24b9-45a0-a552-93de89fdff1d.txt,3,2,1,3,1,4,3,4,2,3,4,1,3,4,3,3,1,2,search_1.2018-11-27-1751.data.710d68e4-24b9-45a0-a552-93de89fdff1d.txt,search_2.2018-11-27-1755.data.710d68e4-24b9-45a0-a552-93de89fdff1d.txt,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2018-11-27-17-43,2018-11-27-17-57,14,
s.f4d8e158-84e5-4af6-9f3c-0448ec7a73d2.txt,3,2,2,4,4,3,4,5,3,2,4,3,4,3,4,2,3,2,search_1.2018-11-27-1747.data.f4d8e158-84e5-4af6-9f3c-0448ec7a73d2.txt,search_2.2018-11-27-1751.data.f4d8e158-84e5-4af6-9f3c-0448ec7a73d2.txt,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-17-41,2018-11-27-17-52,11,
s.2f614a17-7ea7-41a9-91bc-6380ab51272e.txt,4,3,1,5,4,5,4,3,1,2,1,1,3,3,1,1,1,4,search_1.2018-11-27-0958.data.2f614a17-7ea7-41a9-91bc-6380ab51272e.txt,search_2.2018-11-27-1002.data.2f614a17-7ea7-41a9-91bc-6380ab51272e.txt,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-09-51,2018-11-27-10-03,12,
s.ec15126d-bf42-4fe0-b061-3aa7dd98aff0.txt,2,3,2,4,3,3,3,4,3,2,3,2,3,3,3,3,4,2,search_1.2018-11-27-1224.data.ec15126d-bf42-4fe0-b061-3aa7dd98aff0.txt,search_2.2018-11-27-1228.data.ec15126d-bf42-4fe0-b061-3aa7dd98aff0.txt,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-12-17,2018-11-27-12-29,12,
s.40380f31-6838-4929-b469-45780c191ba4.txt,1,2,2,3,3,3,3,3,2,2,3,1,3,2,3,3,2,2,search_1.2018-11-27-0904.data.40380f31-6838-4929-b469-45780c191ba4.txt,search_2.2018-11-27-0909.data.40380f31-6838-4929-b469-45780c191ba4.txt,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-08-57,2018-11-27-09-10,13,
s.d67c81c2-b5a8-4103-bd24-402a718b39d5.txt,4,3,2,3,5,4,4,3,2,3,3,2,4,2,2,1,1,2,search_1.2018-11-27-1726.data.d67c81c2-b5a8-4103-bd24-402a718b39d5.txt,search_2.2018-11-27-1730.data.d67c81c2-b5a8-4103-bd24-402a718b39d5.txt,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-17-19,2018-11-27-17-31,12,
s.9c71bd9b-804b-47b8-bb2b-8978ebd99a43.txt,2,3,1,4,5,3,4,3,1,2,3,2,3,2,2,2,3,3,search_1.2018-11-27-1015.data.9c71bd9b-804b-47b8-bb2b-8978ebd99a43.txt,search_2.2018-11-27-1020.data.9c71bd9b-804b-47b8-bb2b-8978ebd99a43.txt,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-10-08,2018-11-27-10-21,13,
s.87589ad3-2a53-429f-bada-6620a199638e.txt,4,2,3,4,4,5,3,4,2,3,3,1,3,2,4,2,1,3,search_1.2018-11-27-1059.data.87589ad3-2a53-429f-bada-6620a199638e.txt,search_2.2018-11-27-1104.data.87589ad3-2a53-429f-bada-6620a199638e.txt,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-10-49,2018-11-27-11-05,16,
s.ab6e5be4-d401-4f32-8e8c-fd711550d27d.txt,3,2,4,2,4,4,4,4,2,4,4,1,3,4,4,2,4,2,search_1.2018-11-27-1139.data.ab6e5be4-d401-4f32-8e8c-fd711550d27d.txt,search_2.2018-11-27-1143.data.ab6e5be4-d401-4f32-8e8c-fd711550d27d.txt,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018-11-27-11-30,2018-11-27-11-45,15,
s.f94f6a48-2557-4a0d-ad18-a984d051ac36.txt,2,1,2,4,3,5,2,3,1,5,2,1,1,3,4,5,2,2,search_1.2018-11-27-0902.data.f94f6a48-2557-4a0d-ad18-a984d051ac36.txt,search_2.2018-11-27-0907.data.f94f6a48-2557-4a0d-ad18-a984d051ac36.txt,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018-11-27-08-55,2018-11-27-09-08,13,
